Algorithm, Attacks in Train, Number of test, Type, Correct, Incorrect, TP, FP, TN, FN, Precision, Recall, F-Measure
Random Tree,50,3921,Attack and Normal,96.42948227492987,3.570517725070135,0.9642948227492987,0.036141229498468964,0.963858770501531,0.03570517725070135,0.9657815003482704,0.9642948227492987,0.9646780615216413
Random Tree,100,3921,Attack and Normal,96.96505993369038,3.034940066309615,0.9696505993369039,0.014933520668955175,0.9850664793310449,0.03034940066309615,0.9723232953587624,0.9696505993369039,0.9701380265882104
Random Tree,150,3921,Attack and Normal,97.73017087477685,2.2698291252231573,0.9773017087477684,0.011680295019906386,0.9883197049800936,0.022698291252231575,0.978788016489614,0.9773017087477684,0.9775754827107274
Random Tree,200,3921,Attack and Normal,98.72481509818924,1.2751849018107626,0.9872481509818923,0.008989618885079828,0.9910103811149201,0.012751849018107626,0.9876107435087222,0.9872481509818923,0.9873226086849829
Random Tree,250,3921,Attack and Normal,98.39326702371844,1.6067329762815608,0.9839326702371843,0.030846020732929972,0.9691539792670699,0.016067329762815608,0.9838906268657688,0.9839326702371843,0.9838973519699767
Random Tree,300,3921,Attack and Normal,99.0053557765876,0.9946442234123948,0.990053557765876,0.008042040339824339,0.9919579596601756,0.009946442234123947,0.9902392137479986,0.990053557765876,0.9900942675882889
Random Tree,350,3921,Attack and Normal,98.3167559296098,1.6832440703902065,0.9831675592960979,0.023746325463400435,0.9762536745365995,0.016832440703902066,0.983258370046292,0.9831675592960979,0.9832009953769525
Random Tree,400,3921,Attack and Normal,98.6738077021168,1.326192297883193,0.9867380770211681,0.023209236931427263,0.9767907630685727,0.013261922978831931,0.9867229780803677,0.9867380770211681,0.986729175646129
Random Tree,450,3921,Attack and Normal,98.92884468247895,1.0711553175210407,0.9892884468247896,0.015658596634038686,0.9843414033659612,0.010711553175210406,0.9893159028911833,0.9892884468247896,0.9892991399426979
Random Tree,500,3921,Attack and Normal,97.93420045906656,2.0657995409334355,0.9793420045906657,0.045106093793854135,0.9548939062061458,0.020657995409334353,0.979292789894853,0.9793420045906657,0.979224758194156
J48,50,3921,Attack and Normal,97.16908951798011,2.8309104820198927,0.9716908951798011,0.012237611059167923,0.987762388940832,0.028309104820198924,0.9742253433035973,0.9716908951798011,0.9721376533667139
J48,100,3921,Attack and Normal,98.06171894924763,1.9382810507523591,0.9806171894924764,0.015242873145795682,0.9847571268542044,0.01938281050752359,0.9813321168192622,0.9806171894924764,0.9807725199564975
J48,150,3921,Attack and Normal,97.24560061208875,2.754399387911247,0.9724560061208876,0.03672923999494024,0.9632707600050598,0.02754399387911247,0.9727996973733065,0.9724560061208876,0.9725731508702617
J48,200,3921,Attack and Normal,96.32746748278501,3.672532517214996,0.96327467482785,0.047857452450545776,0.9521425475494543,0.036725325172149964,0.9639550242481855,0.96327467482785,0.9635006420810618
J48,250,3921,Attack and Normal,94.8227492986483,5.177250701351696,0.948227492986483,0.1111360049226306,0.8888639950773695,0.05177250701351696,0.9477864125436615,0.948227492986483,0.947515691371341
J48,300,3921,Attack and Normal,96.83754144350931,3.1624585564906913,0.9683754144350931,0.06018191340638222,0.9398180865936178,0.03162458556490691,0.9682118794194291,0.9683754144350931,0.9682458727532921
J48,350,3921,Attack and Normal,95.99591940831421,4.004080591685795,0.959959194083142,0.0991463574258837,0.9008536425741163,0.04004080591685794,0.9602040183615403,0.959959194083142,0.9592379865493443
J48,400,3921,Attack and Normal,95.43483805151747,4.56516194848253,0.9543483805151747,0.10572395819576773,0.8942760418042323,0.0456516194848253,0.954249260652762,0.9543483805151747,0.9535977029371272
J48,450,3921,Attack and Normal,95.84289722009692,4.157102779903086,0.9584289722009691,0.09163617214307185,0.908363827856928,0.04157102779903086,0.9582113816275347,0.9584289722009691,0.9579202891128157
J48,500,3921,Attack and Normal,95.6643713338434,4.335628666156593,0.9566437133384341,0.09759054087686858,0.9024094591231314,0.04335628666156593,0.956460124050726,0.9566437133384341,0.9560393667941233
SVM,50,3921,Attack and Normal,63.81025248661056,36.18974751338944,0.6381025248661056,0.30953537951288035,0.6904646204871197,0.3618974751338944,0.7434507401494665,0.6381025248661056,0.661784072576683
SVM,100,3921,Attack and Normal,66.41162968630451,33.588370313695485,0.6641162968630452,0.4084449467188188,0.5915550532811811,0.33588370313695487,0.71271450016882,0.6641162968630452,0.6809053500452631
SVM,150,3921,Attack and Normal,82.83601122162713,17.163988778372865,0.8283601122162714,0.47136746310489147,0.5286325368951086,0.17163988778372863,0.835262142101626,0.8283601122162714,0.8017823776937956
SVM,200,3921,Attack and Normal,84.03468502932925,15.965314970670747,0.8403468502932925,0.4586227515784057,0.5413772484215943,0.15965314970670746,0.8582787259339734,0.8403468502932925,0.8141845454946979
SVM,250,3921,Attack and Normal,83.65212955878603,16.347870441213978,0.8365212955878603,0.47931359938323465,0.5206864006167653,0.16347870441213977,0.8619317055303849,0.8365212955878603,0.8065401532205628
SVM,300,3921,Attack and Normal,83.67763325682223,16.32236674317776,0.8367763325682224,0.48056529693037003,0.51943470306963,0.1632236674317776,0.8637468364421816,0.8367763325682224,0.8064557305718988
SVM,350,3921,Attack and Normal,83.16755929609793,16.832440703902066,0.8316755929609794,0.4909841338457741,0.5090158661542259,0.16832440703902066,0.8561792275059206,0.8316755929609794,0.7999248975590741
SVM,400,3921,Attack and Normal,83.29507778627901,16.70492221372099,0.8329507778627901,0.4925601779020776,0.5074398220979225,0.1670492221372099,0.8616394001386823,0.8329507778627901,0.8005494232133958
SVM,450,3921,Attack and Normal,83.14205559806172,16.85794440193828,0.8314205559806171,0.49709056208051067,0.5029094379194893,0.16857944401938282,0.8605766809641378,0.8314205559806171,0.7982244604254013
SVM,500,3921,Attack and Normal,83.0910482019893,16.908951798010712,0.8309104820198929,0.4979317696143637,0.5020682303856363,0.16908951798010713,0.8596145363295923,0.8309104820198929,0.7976139444206369
Random Forest,50,3921,Attack and Normal,96.5059933690385,3.4940066309614894,0.9650599336903851,0.01982870637113322,0.9801712936288668,0.034940066309614895,0.9682032112588321,0.9650599336903851,0.9656597480004896
Random Forest,100,3921,Attack and Normal,97.78117827084927,2.218821729150727,0.9778117827084928,0.03425130588291867,0.9657486941170812,0.02218821729150727,0.9778715202081061,0.9778117827084928,0.9778376024656669
Random Forest,150,3921,Attack and Normal,96.35297118082121,3.647028819178781,0.9635297118082122,0.07519705049704525,0.9248029495029548,0.03647028819178781,0.9632971276802877,0.9635297118082122,0.9632445554806824
Random Forest,200,3921,Attack and Normal,96.63351185921958,3.366488140780413,0.9663351185921959,0.07358055142616504,0.926419448573835,0.03366488140780413,0.9661903626779652,0.9663351185921959,0.9660168239702523
Random Forest,250,3921,Attack and Normal,95.63886763580719,4.361132364192808,0.9563886763580719,0.10302804858598048,0.8969719514140195,0.04361132364192808,0.956392768566349,0.9563886763580719,0.9556545353239199
Random Forest,300,3921,Attack and Normal,95.63886763580719,4.361132364192808,0.9563886763580719,0.11707537962409964,0.8829246203759004,0.04361132364192808,0.9573819651475377,0.9563886763580719,0.9552840129546551
Random Forest,350,3921,Attack and Normal,95.43483805151747,4.56516194848253,0.9543483805151747,0.12177805081076107,0.8782219491892388,0.0456516194848253,0.9553512567700657,0.9543483805151747,0.953153685893352
Random Forest,400,3921,Attack and Normal,93.93011986738077,6.06988013261923,0.9393011986738077,0.16632682856535363,0.8336731714346463,0.0606988013261923,0.941544203679428,0.9393011986738077,0.9369206571256463
Random Forest,450,3921,Attack and Normal,92.96097934200459,7.039020657995409,0.9296097934200459,0.19501926169543024,0.8049807383045697,0.0703902065799541,0.9328785467523057,0.9296097934200459,0.926209246502968
Random Forest,500,3921,Attack and Normal,92.85896454985973,7.14103545014027,0.9285896454985973,0.20272196149375873,0.7972780385062412,0.0714103545014027,0.9328759302709295,0.9285896454985973,0.9248180842738964
